SPECIES,M160a,M160b,M280a,M280b,M530a,M530b,M820a,M820b,M990a,M990b,M1220a,M1220b
Leptolaimoides M5,0,2.280094678,0,0,0,1.72738709,0,1.300081001,0,0,2.740798555,5.126171243
Leptolaimoides M6,0,0,0,0,0,0,0,1.24804248,0,0,0,0
Leptolaimus,0,0,2.499212995,0,1.284365588,0,1.106698893,1.09898299,0,3.799193606,0,0
Leptolaimus M11,0,0,0,0,2.560751271,0,0,0,0,0,0,0
Leptolaimus M12,0,0,0,0,1.245663052,0,0,0,0,2.74500604,0,0
Leptolaimus M13,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Leptolaimus M14,0,0,0,0,0,0,0,1.07296373,1.241135865,0,0,0
Leptolaimus M2,0,0,0,0,0,0,0,0,2.447545182,2.46129631,1.274293354,0
Leptolaimus M3,0,0,0,0,0,0,0,0,0,4.093199254,0,0
Leptolaimus M4,0,0,0,0,0,0,0,0,1.270450484,2.585991312,0,0
Leptolaimus M5,0,0,0,1.209342047,0,0,1.631404369,0,2.447545182,1.248094015,4.075772545,2.2500675
Leptolaimus M6,0,0,0,0,0,0,5.582102418,9.240365404,5.052036324,8.935140519,2.538416769,1.166824999
Leptolaimus M7,0,0,2.879411276,0,0,0,0,0,0,0,0,0
Leptolaimus M8,0,0,2.696293178,1.120781604,0,0,0,0,0,0,0,0
Leptolaimus M9,0,0,5.366810201,4.571194856,0,2.385860457,0,1.09898299,1.270450484,3.958208334,1.115981304,0
Leptolaimus pocillus,0,8.879927281,1.439705638,2.419176096,3.845116859,3.578991684,0,1.09898299,0,3.728838169,0,0
Leptolaimus tritubulatus,0,5.919718525,0,0,2.560751271,0,0,0,0,0,0,0
Leptosomatidae,0,1.340656528,0,0,0,0,0,0,0,1.248094015,0,1.303687178
Leptosomatidae M1,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Leptosomatidae M2,0,0,0,6.812266061,0,0,0,0,0,0,0,0
Leptosomatidae M3,0,0,0,1.367274836,0,0,0,0,0,0,0,0
Leptosomatidae M4,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Linhomoeidae,6.327391637,10.80283975,1.183018098,3.120771604,0,1.173433306,3.417312583,1.24804248,1.270450484,2.87999696,2.380443717,0
Linhomoeidae M2,6.14998275,0,0,0,0,0,0,0,0,0,0,0
Linhomoeidae M3,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Litinium aequale,0,0,0,0,0,0,2.374845625,0,0,2.426404589,0,1.166824999
Litinium bananum,0,0,1.315657894,1.209342047,1.356982716,2.92011632,4.951501048,3.271370714,0,0,0,0
Litinium M3,0,1.340656528,0,1.120781604,0,0,0,0,0,1.248094015,0,0
Litinium M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Longicyatholaimus,0,2.960208756,0,0,1.315487214,0,0,0,0,0,0,0
Longicyatholaimus cervoides,0,0,1.439705638,4.526914635,0,0,0,1.07296373,0,1.248094015,0,0
Longicyatholaimus M2,7.341156706,0,2.622723736,3.367264836,0,1.72738709,1.155306845,0,0,0,1.115981304,0
Longicyatholaimus M3,0,0,0,0,0,0,0,1.07296373,0,0,1.274293354,0
Marylynnia M1,0,2.280094678,0,1.120781604,0,0,0,0,0,1.248094015,0,1.303687178
Marylynnia M2,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Metacyatholaimus,0,3.620052219,1.315657894,0,0,0,0,0,0,0,0,0
Metacyatholaimus M1,0,0,3.806278838,3.361852809,2.568731175,6.050879796,1.631404369,0,5.877355594,2.585991312,1.264462413,2.446869319
Metacyatholaimus M2,0,0,0,0,6.483672196,0,0,0,4.695750955,0,0,1.161164033
Metacyatholaimus M3,2.04999425,3.620052219,2.439605638,1.209342047,0,0,0,1.24804248,0,0,0,0
Metacyatholaimus M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Metacyatholaimus M5,0,0,0,0,0,0,0,0,0,2.495616035,0,0
Metacyatholaimus M6,0,2.960208756,0,0,0,0,2.213397787,0,0,0,0,0
Metadasynemella M3,0,0,0,0,2.630575433,0,0,1.24804248,0,0,0,0
Metadasynemella macrophalla,0,0,4.319116915,1.209342047,0,0,0,0,0,0,0,0
Metalinhomoeus M1,0,0,0,0,0,0,0,0,0,0,1.274293354,0
Metasphaerolaimus M1,0,0,6.451556709,4.729127646,1.284365588,5.130705477,9.096630903,7.242615426,7.21996514,10.42290062,1.48006512,1.166824999
Metasphaerolaimus M2,0,0,0,0,0,0,1.631404369,0,0,0,0,0
Metasphaerolaimus M3,0,1.340656528,0,0,0,0,0,0,0,0,0,0
Metasphaerolaimus M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Microlaiminae,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Microlaiminae M1,22.91742659,0,0,0,0,0,0,0,0,0,0,0
Microlaiminae M4,1.815561078,0,0,0,0,0,0,0,0,0,0,0
Microlaimus,3.091407457,0,0,0,0,0,0,0,0,0,0,0
Microlaimus M1,1.191173956,8.321436893,23.56907141,20.07714439,3.885415375,7.692239231,0,0,0,2.426404589,0,0
Microlaimus M2,0,0,8.381546289,6.939694698,0,0,0,0,0,0,0,0
Microlaimus M3,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Microlaimus M4,9.091053455,2.781268156,0,0,0,0,0,0,0,0,0,0
Minolaimus cervoides,0,0,0,2.577108886,0,0,1.155306845,0,0,0,1.249885501,0
Minolaimus M2,0,0,0,0,1.245663052,0,0,0,0,0,0,0
Molgolaimus allgeni,0,0,0,0,0,1.173433306,1.106698893,4.843551436,0,1.213202294,0,0
Molgolaimus M1,0,2.960208756,14.90291342,7.237356187,1.315487214,0,0,1.09898299,5.022721705,2.585991312,2.528585828,5.822470065
Molgolaimus M2,0,5.919718525,18.2500545,33.5004475,2.800148398,0,1.106698893,3.446449464,2.540449974,1.213202294,0,0
Molgolaimus M3,7.692518463,10.32263587,5.498912993,1.209342047,0,0,0,0,0,1.372789018,0,0
Molgolaimus M5,0,0,9.564564387,1.209342047,0,0,0,0,0,0,0,0
Molgolaimus M6,0,0,0,0,0,0,0,1.09898299,0,0,0,0
Monhysteridae,15.44782124,18.40082538,12.0831095,11.31458057,10.29008652,5.820936716,16.76757323,15.01179012,16.06666613,25.96115631,11.15472807,25.60688036
Monhysteridae (fil),1.203270016,2.960208756,0,0,0,0,0,0,0,0,0,0
Monhysteridae (fil) M1,0,0,0,0,0,0,1.106698893,1.09898299,2.511135355,6.862801098,1.264462413,5.822470065
Monhysteridae (fil) M2,0,0,2.572245433,3.5399577,0,1.193131227,0,0,1.270450484,1.213202294,2.538416769,2.327989032
Monhysteridae (fil) M3,8.544426722,8.701685668,6.682468095,6.990370952,7.809932281,3.559293763,12.26005374,25.74098641,11.31995284,28.44304446,11.35439787,10.98960006
Monhysteridae (fil) M4,0,0,0,0,0,0,0,2.936207362,1.177094698,0,1.274293354,0
Monhysteridae (fil) M5,0,0,1.315657894,0,0,0,0,0,0,0,0,0
Monhysteridae (fil) M6,0,0,3.977582865,3.5399577,0,0,0,0,0,0,0,0
Monhysteridae (fil) M7,0,0,1.611009666,0,0,0,0,0,0,0,0,0
Monhysteridae (fil) M8,0,0,2.879411276,0,0,0,1.106698893,0,0,0,0,0
Monhysteridae (fil) M9,0,0,0,0,0,0,1.106698893,1.24804248,0,0,0,0
Monhysteridae M1,0,5.919718525,1.611009666,0,1.284365588,0,6.493501506,3.744127441,8.532809073,6.20500636,1.264462413,0
Monhysteridae M10,0,10.47990788,0,3.5399577,1.284365588,0,1.631404369,1.09898299,0,0,0,0
Monhysteridae M11,0,0,0,1.120781604,0,0,1.155306845,0,5.580150458,1.213202294,5.579567523,3.827812033
Monhysteridae M12,0,0,2.879411276,6.901318507,1.315487214,1.173433306,1.106698893,3.271370714,3.75227122,5.081607347,6.711820729,2.607041358
Monhysteridae M13,0,0,0,0,1.245663052,0,1.155306845,2.146368464,1.270450484,3.640178879,0,2.661320032
Monhysteridae M14,0,0,0,0,0,0,0,1.300081001,0,0,1.274293354,0
Monhysteridae M15,0,0,0,0,0,0,2.735933264,0,0,0,0,1.285705286
Monhysteridae M16,0,0,0,0,0,0,2.819261181,2.936207362,0,0,0,0
Monhysteridae M17,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Monhysteridae M18,1.815561078,0,0,0,0,0,0,0,0,0,0,0
Monhysteridae M19,5.96796584,2.280094678,0,0,0,0,0,0,0,0,0,0
Monhysteridae M2,0,0,2.631852791,0,0,0,0,2.321447214,1.177094698,2.698674411,1.115981304,1.161164033
Monhysteridae M3,0,0,0,0,0,0,1.106698893,0,0,1.142846857,0,0
Monhysteridae M4,0,0,1.25658754,0,0,0,2.294121706,0,1.312392939,1.213202294,1.264462413,0
Monhysteridae M5,0,0,0,0,0,0,0,0,0,4.253929969,1.625156249,4.107197357
Monhysteridae M6,0,0,0,0,0,0,0,0,0,0,1.274293354,0
Monhysteridae M7,0,0,0,0,0,0,0,0,0,0,1.115981304,0
Monhysteridae M9,1.815561078,0,2.622723736,0,0,4.713431146,0,2.496084961,0,0,0,0
Monhystrella M1,64.26233731,9.540469731,1.439705638,1.209342047,0,0,0,0,0,0,0,0
Nannolaimus M1,0,0,1.183018098,0,3.96002748,3.454372183,1.548510451,0,0,2.803349573,4.827670034,4.089215465
Nematoda,14.38221591,8.60103158,4.806178837,4.419166096,7.842250893,7.033363867,11.39075261,22.14591846,2.418230563,4.666910665,2.514347914,4.792840243
Nematoda M1,0,0,0,0,0,0,0,0,2.540449974,0,0,0
Nematoda M2,0,0,0,0,0,0,0,0,1.270450484,1.213202294,0,0
Nematoda M3,1.203270016,9.799793804,1.183018098,0,1.245663052,1.193131227,0,1.24804248,2.904402243,0,1.115981304,0
Nematoda M4,0,0,1.25658754,2.734549673,0,0,0,0,0,0,0,0
Nematoda M5,0,0,1.439705638,3.628518143,0,0,0,0,0,0,0,0
Odontophora,1.538503693,0,0,0,0,1.193131227,0,0,0,0,0,0
Odontophora fatisca,3.865555328,0,0,0,0,0,0,0,0,0,0,0
Odontophora M2,0,0,0,0,0,0,0,0,1.177094698,1.213202294,0,0
Onyx M1,0,0,0,0,0,0,1.106698893,0,0,0,0,0
Oxystomina,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Oxystomina pulchella,0,2.280094678,11.96443179,9.478427392,7.729335248,15.85441458,3.465920534,2.548123481,4.895090364,11.04179967,6.992511045,3.494481033
Oxystominidae,0,2.960208756,0,3.450905255,0,0,0,0,0,0,0,0
Oxystominidae M1,0,0,0,0,0,0,0,1.300081001,1.545556908,2.698674411,1.48006512,6.892725644
Oxystominidae M2,0,0,0,0,0,0,0,1.300081001,0,1.142846857,0,1.500155999
Oxystominidae M3,0,0,0,0,2.800148398,0,0,0,0,0,1.249885501,0
Oxystominidae M4,0,0,1.25658754,0,0,0,0,0,0,0,0,2.999979
Paradesmodora M1,10.11403457,5.563235299,0,0,0,0,0,0,0,0,0,0
Paramesacanthion,0,4.560189356,0,0,0,0,0,1.24804248,0,0,0,0
Paramesacanthion M1,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Paramesacanthion M2,0,0,0,0,1.284365588,0,0,0,0,1.248094015,0,0
Paramesacanthion M3,0,0,1.439705638,2.285843429,0,0,0,0,0,0,0,0
Paramesacanthion M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Paramesacanthion M5,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Paramicrolaimus M1,2.729677648,0,0,0,0,0,0,0,0,0,0,0
Paramonohystera M1,1.191173956,0,0,0,0,0,0,0,0,0,0,0
Pararaeolaimus,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Pararaeolaimus M2,0,0,0,0,0,0,1.548510451,0,1.270450484,3.958208334,0,0
Parareolaimus rumohri,0,0,2.622723736,0,2.67246993,1.173433306,3.368704631,5.767896679,10.07430703,5.330997352,3.793048242,2.470179179
Perepsilonema M1,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Pierrickia,1.191173956,0,0,0,0,0,0,0,0,0,0,0
Pierrickia decasetosa,0,1.340656528,2.696293178,0,0,0,0,0,0,1.248094015,0,1.161164033
Pierrickia M2,0,1.441310615,0,0,0,0,0,0,0,0,0,0
Polysigma M1,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Polysigma M2,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Pomponematinae M1,0,0,0,0,0,3.664617342,0,0,2.354189396,0,0,0
Porocoma M1,0,0,0,0,0,0,0,0,0,1.372789018,0,0
Porocoma M2,0,0,1.25658754,0,0,0,0,0,1.241135865,0,0,0
Prototricoma,0,0,1.439705638,2.419176096,0,0,0,0,2.582843423,3.993100055,0,0
Prototricoma M2,0,0,0,0,0,0,0,0,1.270450484,0,1.115981304,1.161164033
Prototricoma M3,0,0,0,0,0,1.173433306,0,0,0,0,5.057510655,0
Prototricoma M4,0,0,0,0,0,1.193131227,0,0,0,0,0,0
Prototricoma M5,0,0,0,0,0,1.193131227,0,0,0,0,0,0
Prototricoma M6,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Protricoma corsicana,0,0,1.25658754,0,0,0,2.213397787,2.884609846,1.312392939,0,0,1.303687178
Protricoma macramphis,0,0,0,0,0,0,0,0,1.270450484,2.585991312,0,2.327989032
Protricoma microcephala,0,0,1.25658754,1.120781604,1.284365588,0,0,0,0,1.213202294,0,1.166824999
Pselionema,2.04999425,8.199813204,1.183018098,0,1.315487214,0,0,2.198406984,1.241135865,2.46129631,3.505916964,1.166824999
Pselionema deconincki,0,0,0,0,0,0,0,0,0,1.213202294,0,0
Pselionema M10,0,0,0,0,0,0,0,0,0,0,1.264462413,0
Pselionema M11,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Pselionema M2,0,0,0,0,0,0,0,0,0,1.248094015,0,1.166824999
Pselionema M4,0,0,2.366573199,0,0,0,0,0,0,0,0,0
Pselionema M6,0,0,0,1.209342047,0,1.193131227,0,0,0,0,1.264462413,0
Pselionema M7,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Pselionema M8,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Pselionema M9,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Pselionema minutum,0,0,1.315657894,0,0,0,0,0,0,0,1.274293354,0
Richtersia bathyalis,1.191173956,0,0,1.120781604,3.884218389,1.193131227,22.75329525,34.36703267,12.44202625,8.651430789,8.769199385,8.752186487
Richtersia heipi,7.731686658,26.87953429,16.29751079,7.079423397,5.230428235,17.3502506,0,0,3.781585839,3.958208334,0,0
Richtersia spinosa,5.915549578,14.20061419,0,0,0,0,0,0,0,0,0,0
Richtersia staresensis,9.547247736,3.620052219,0,0,0,0,0,0,0,0,0,0
Sabatieria,0,0,1.315657894,1.120781604,0,0,0,0,0,0,0,0
Sabatieria M1,0,0,1.183018098,10.46538433,16.77296072,12.16165735,23.01586498,21.97172172,10.91405812,2.426404589,0,0
Sabatieria M2,0,0,54.03111619,31.5594978,45.93831374,29.21282115,78.35211165,38.04809648,47.84777198,51.27138183,37.58945046,23.45571327
Sabatieria M3,0,0,0,0,0,0,6.866741133,8.890207902,8.588732346,4.922592619,9.743140541,7.234381594
Sabatieria M4,0,0,9.305191831,4.101824509,0,0,0,0,0,0,0,0
Sabatieria M5,13.02284911,17.40616728,0,0,0,0,0,0,0,0,0,0
Sabatieria M6,0,0,16.01021406,3.855331277,0,2.385860457,0,0,0,0,0,0
Sabatieria pisinna,0,0,4.319116915,1.209342047,42.80181238,18.31183075,0,0,0,0,0,1.285705286
Sabatieria vasicola,6.24790324,6.301365274,0,0,0,0,0,0,0,0,0,0
Setoplectus,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Setoplectus gerlachi,0,1.340656528,1.315657894,2.285843429,3.876238485,1.173433306,3.417312583,1.24804248,2.96844341,0,0,0
Setoplectus M2,0,1.441310615,0,0,2.630575433,0,1.106698893,0,2.540449974,0,0,0
Siphonolaimus M1,0,0,0,1.120781604,0,0,0,0,0,1.372789018,0,0
Siphonolaimus M2,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Southerniella,0,0,0,1.120781604,0,0,1.106698893,0,1.270450484,0,0,0
Southerniella conicauda,0,0,0,1.209342047,0,0,0,0,1.241135865,0,0,0
Southerniella M2,0,0,0,0,0,0,0,0,0,2.914316685,0,0
Southerniella M3,0,0,0,0,0,0,0,2.600162002,1.241135865,1.142846857,0,0
Southerniella M4,0,0,0,0,1.315487214,1.272726909,0,4.292736927,2.489487637,2.46129631,1.274293354,2.589392464
Southerniella M5,0,0,1.183018098,0,0,1.173433306,1.106698893,0,0,0,0,0
Sphaerolaimidae M1,0,0,0,0,0,0,3.417312583,1.24804248,0,2.426404589,0,0
Sphaerolaimus,0,0,0,0,3.914941021,5.247687009,0,0,0,0,0,0
Sphaerolaimus M2,1.815561078,0,0,0,0,0,1.155306845,0,1.270450484,2.495616035,0,0
Sphaerolaimus M3,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Sphaerolaimus M4,2.04999425,0,0,0,2.599852802,0,0,0,0,0,0,0
Sphaerolaimus uncinatus,0,0,4.333616002,3.400229001,2.599852802,1.193131227,1.155306845,1.24804248,4.865775745,1.248094015,1.274293354,0
Spilophorella (aff.) M1,2.04999425,5.900146897,0,0,1.315487214,3.53999784,2.262005738,1.24804248,0,0,0,0
Spirobolbolaimus bathyalis,0,2.960208756,1.25658754,0,1.284365588,2.385860457,2.213397787,1.09898299,0,0,0,0
Synonchiella M1,1.815561078,0,1.25658754,0,0,0,0,0,0,0,0,0
Synonchiella M2,0,1.441310615,0,0,0,0,0,0,0,0,0,0
Syringolaimus M1,0,10.21988482,3.755263532,15.82722714,0,13.9493442,5.110778889,4.346098461,2.857949847,5.305257558,11.5503387,6.393894637
Syringolaimus M2,0,0,0,0,0,0,1.187422813,0,0,0,0,0
Tarvaia M1,0,0,0,0,0,0,0,0,0,0,0,1.161164033
Tarvaia M2,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Tarvaia M3,0,0,1.439705638,0,0,0,0,0,0,0,0,0
Thalassoalaimus M1,0,0,2.439605638,4.818180091,0,0,0,0,0,0,0,0
Thalassoalaimus M2,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Thalassoalaimus M3,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Thalassoalaimus M5,0,0,0,0,0,0,0,0,0,0,0,1.161164033
Thalassoalaimus M6,0,0,0,0,0,0,1.631404369,0,0,0,0,0
Thalassoalaimus M7,0,0,0,0,0,1.173433306,0,0,0,0,0,0
Thalassoalaimus mediterraneus,1.191173956,2.280094678,0,0,0,0,0,1.07296373,0,0,0,0
Theristus,1.191173956,5.919718525,1.183018098,6.812266061,0,4.64750341,0,2.347466475,0,1.213202294,3.496086023,0
Theristus M1,0,0,2.366573199,0,0,0,0,0,0,0,0,0
Trefusia litoralis aff,2.04999425,0,1.315657894,0,3.775691692,1.193131227,0,1.24804248,0,0,0,0
Trichotheristus M1,0,0,0,0,0,1.193131227,0,0,0,0,0,0
Tricoma,5.915549578,7.082133439,5.502135013,7.079423397,2.599852802,4.713431146,0,6.595220952,1.270450484,7.916988664,2.528585828,0
Tricoma absidata aff,0,0,0,3.628518143,1.315487214,0,0,0,0,0,0,0
Tricoma apophysis,3.865555328,11.54096972,6.941840651,2.419176096,1.315487214,0,0,2.496084961,3.75227122,2.74500604,0,1.166824999
Tricoma bathycola,0,4.960708747,1.25658754,2.419176096,0,0,0,0,0,0,0,0
Tricoma brevirostris aff,0,1.340656528,0,1.209342047,0,1.173433306,0,0,0,0,0,0
Tricoma corsicana,0,0,0,0,0,0,1.106698893,0,1.241135865,0,1.264462413,0
Tricoma duopapillata,0,12.76000256,4.732609396,4.838352192,0,0,0,0,0,0,2.538416769,0
Tricoma globulosa,2.04999425,0,0,0,0,0,0,0,0,0,1.264462413,0
Tricoma latispicula,1.538503693,2.960208756,0,1.209342047,0,0,0,0,2.511135355,2.74500604,0,0
Tricoma M10,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Tricoma M11,0,0,1.183018098,1.209342047,0,0,0,0,0,0,0,0
Tricoma M12,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Tricoma M15,0,0,0,0,0,0,0,0,0,1.372789018,3.793048242,1.161164033
Tricoma M17,0,0,1.439705638,0,0,0,0,0,0,0,1.264462413,0
Tricoma M18,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Tricoma M22,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Tricoma M27,1.191173956,0,0,0,0,0,0,0,0,0,0,0
Tricoma M8,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Tricoma pygmaea,0,0,1.439705638,1.120781604,1.315487214,1.193131227,0,1.09898299,5.022721705,0,1.274293354,1.161164033
Tricoma setosa,0,0,0,0,0,0,0,0,0,2.285693714,0,0
Tricoma tripapillata,0,0,1.183018098,0,1.315487214,0,0,1.09898299,0,0,0,0
Tricoma vincxae,0,0,4.319116915,2.419176096,0,0,0,0,5.052036324,5.171982624,0,0
Tripyloididae M1,0,0,1.611009666,0,0,0,0,0,0,0,0,0
Viscosia,0,1.340656528,0,0,1.284365588,0,0,0,0,0,0,0
Viscosia M1,0,0,1.439705638,1.209342047,0,0,0,0,0,0,0,0
Viscosia M2,2.04999425,2.960208756,0,0,0,0,0,0,0,0,0,0
Wieseria leptura,0,0,0,0,0,0,1.106698893,0,0,0,0,0
